20170118_103938	86.9	-1.6377509	1000000.0	12
20170118_103948	86.4	-1.6372888	1000000.0	12
20170118_103957	86.6	-1.64534353	1000000.0	12
20170118_104007	86.4	-1.64218521	1000000.0	12
20170118_104017	86.7	-1.64171623	1000000.0	12
20170118_104027	87.5	-1.63763581	1000000.0	12
20170118_104037	87.3	-1.64386393	1000000.0	12
20170118_104047	87.7	-1.64674052	1000000.0	12
20170118_104057	87.9	-1.64713651	1000000.0	12
20170118_104107	87.5	-1.64896399	1000000.0	12
20170118_104117	87.3	-1.64998032	1000000.0	12
20170118_104128	87.7	-1.64667282	1000000.0	12
20170118_104138	87.9	-1.64927443	1000000.0	12
20170118_104148	87.9	-1.65053002	1000000.0	12
20170118_104157	89.2	-1.65105919	1000000.0	12
20170118_104208	88.3	-1.65667318	1000000.0	12
20170118_104218	88.3	-1.65684817	1000000.0	12
20170118_104227	88.4	-1.65950913	1000000.0	12
20170118_104237	88.3	-1.65891062	1000000.0	12
20170118_104247	88.4	-1.65866043	1000000.0	12
20170118_104257	88.1	-1.65952882	1000000.0	12
20170118_104307	88.4	-1.66024536	1000000.0	12
20170118_104318	88.6	-1.65733083	1000000.0	12
20170118_104328	89.2	-1.65782416	1000000.0	12
20170118_104338	89.0	-1.65924657	1000000.0	12
20170118_104348	89.2	-1.65987821	1000000.0	12
20170118_104358	89.2	-1.65563171	1000000.0	12
20170118_104408	89.4	-1.64974246	1000000.0	12
20170118_104418	89.6	-1.65900058	1000000.0	12
20170118_104428	89.4	-1.66134684	1000000.0	12
20170118_104438	89.6	-1.66113456	1000000.0	12
20170118_104448	89.8	-1.65995631	1000000.0	12
20170118_104458	90.0	-1.65814965	1000000.0	12
20170118_104507	90.0	-1.66185365	1000000.0	12
20170118_104518	90.0	-1.66133458	1000000.0	12
20170118_104528	90.5	-1.66001951	1000000.0	12
20170118_104538	90.5	-1.65885958	1000000.0	12
20170118_104547	90.7	-1.65931883	1000000.0	12
20170118_104557	90.5	-1.6586369	1000000.0	12
20170118_104608	90.9	-1.65945304	1000000.0	12
20170118_104617	90.5	-1.66103085	1000000.0	12
20170118_104627	90.3	-1.65322756	1000000.0	12
20170118_104637	90.3	-1.65450568	1000000.0	12
20170118_104647	90.3	-1.65600617	1000000.0	12
20170118_104657	90.5	-1.6613298	1000000.0	12
20170118_104707	90.9	-1.65801109	1000000.0	12
20170118_104717	90.7	-1.65316529	1000000.0	12
20170118_104727	90.5	-1.65607518	1000000.0	12
20170118_104737	91.3	-1.65916113	1000000.0	12
20170118_104747	90.9	-1.65701949	1000000.0	12
20170118_104757	90.9	-1.65134161	1000000.0	12
20170118_104807	91.1	-1.65378471	1000000.0	12
20170118_104817	90.9	-1.65288177	1000000.0	12
20170118_104827	90.7	-1.64884413	1000000.0	12
20170118_104837	90.9	-1.64927066	1000000.0	12
20170118_104847	91.5	-1.64942055	1000000.0	12
20170118_104857	91.5	-1.65509308	1000000.0	12
20170118_104907	92.0	-1.65584335	1000000.0	12
20170118_104917	92.6	-1.65368363	1000000.0	12
20170118_104927	92.4	-1.65937591	1000000.0	12
20170118_104937	92.2	-1.65885976	1000000.0	12
20170118_104947	92.4	-1.66186249	1000000.0	12
20170118_104957	92.2	-1.67058712	1000000.0	12
20170118_105007	92.8	-1.66933294	1000000.0	12
20170118_105017	92.6	-1.67297851	1000000.0	12
20170118_105027	93.2	-1.67502298	1000000.0	12
